Date,Close,Open,High,Low,Volume,Change %,Return
2010-01-04,7.64,7.62,7.66,7.58,493.73M,1.56%,0.0
2010-01-05,7.66,7.66,7.7,7.62,601.90M,0.17%,0.0026143805740708936
2010-01-06,7.53,7.66,7.69,7.53,552.16M,-1.59%,-0.017116941940697752
2010-01-07,7.52,7.56,7.57,7.47,477.13M,-0.18%,-0.001328903850053863
2010-01-08,7.57,7.51,7.57,7.47,447.88M,0.66%,0.006626929487609078
2010-01-11,7.5,7.6,7.61,7.44,462.23M,-0.88%,-0.009290046907092642
2010-01-12,7.42,7.47,7.49,7.37,594.46M,-1.14%,-0.010723963362975724
2010-01-13,7.52,7.42,7.53,7.29,605.89M,1.41%,0.013387080782459279
2010-01-14,7.48,7.5,7.52,7.46,433.15M,-0.58%,-0.005333345975362505
2010-01-15,7.35,7.53,7.56,7.35,594.34M,-1.67%,-0.017532478761640637
2010-01-19,7.68,7.44,7.69,7.4,730.01M,4.42%,0.04391923393483558
2010-01-20,7.56,7.68,7.7,7.48,612.15M,-1.54%,-0.015748356968139168
2010-01-21,7.43,7.57,7.62,7.4,608.15M,-1.73%,-0.017345331461773847
2010-01-22,7.06,7.38,7.41,7.04,881.77M,-4.96%,-0.05108080722451715
2010-01-25,7.25,7.23,7.31,7.15,1.07B,2.69%,0.026556417361432674
2010-01-26,7.35,7.36,7.63,7.23,1.87B,1.41%,0.013698844358161927
2010-01-27,7.42,7.39,7.52,7.13,1.72B,0.94%,0.009478743954543739
2010-01-28,7.12,7.32,7.34,7.1,1.17B,-4.13%,-0.04127133175540461
2010-01-29,6.86,7.18,7.22,6.79,1.25B,-3.63%,-0.03720028368609046
2010-02-01,6.95,6.87,7.0,6.83,749.87M,1.39%,0.013034217838906906
2010-02-02,6.99,7.0,7.01,6.91,698.34M,0.58%,0.005738896669018178
2010-02-03,7.12,6.97,7.15,6.94,615.33M,1.72%,0.018427169178165587
2010-02-04,6.86,7.03,7.08,6.84,757.65M,-3.60%,-0.03720028368609046
2010-02-05,6.98,6.88,7.0,6.82,850.31M,1.78%,0.017341475036487173
2010-02-08,6.93,6.99,7.07,6.93,478.27M,-0.69%,-0.007189103572469338
2010-02-09,7.01,7.01,7.05,6.96,632.88M,1.07%,0.011477887844686839
2010-02-10,6.97,7.0,7.02,6.94,370.36M,-0.55%,-0.0057224762740662105
2010-02-11,7.1,6.96,7.13,6.93,550.34M,1.82%,0.018479559274837135
2010-02-12,7.16,7.08,7.2,6.98,655.47M,0.86%,0.008415196925284498
2010-02-16,7.26,7.21,7.27,7.2,543.95M,1.51%,0.013869847864150377
2010-02-17,7.23,7.29,7.3,7.17,436.40M,-0.42%,-0.004140792666031277
2010-02-18,7.25,7.2,7.28,7.18,422.82M,0.19%,0.0027624326959100796
2010-02-19,7.2,7.21,7.26,7.18,415.73M,-0.62%,-0.006920442844573795
2010-02-22,7.16,7.23,7.23,7.11,390.83M,-0.62%,-0.00557104504945536
2010-02-23,7.04,7.14,7.19,6.99,575.31M,-1.68%,-0.016901810802603254
2010-02-24,7.17,7.08,7.19,7.07,460.57M,1.83%,0.018297484441578037
2010-02-25,7.21,7.05,7.24,7.03,665.40M,0.67%,0.005563296685328732
2010-02-26,7.31,7.23,7.33,7.21,507.46M,1.30%,0.013774322464829422
2010-03-01,7.46,7.35,7.48,7.34,550.09M,2.14%,0.020312140453982306
2010-03-02,7.46,7.5,7.53,7.42,566.55M,-0.07%,0.0
2010-03-03,7.48,7.46,7.5,7.43,372.24M,0.23%,0.0026773777707163942
2010-03-04,7.53,7.47,7.53,7.45,366.04M,0.66%,0.00666224982541625
2010-03-05,7.82,7.68,7.85,7.67,899.62M,3.91%,0.03778951274541747
2010-03-08,7.82,7.86,7.86,7.79,429.89M,0.00%,0.0
2010-03-09,7.96,7.8,8.04,7.78,920.26M,1.80%,0.01774444529907191
2010-03-10,8.03,7.99,8.05,7.97,596.22M,0.82%,0.008755528102378504
2010-03-11,8.05,8.0,8.05,7.98,405.70M,0.29%,0.0024875634718019286
2010-03-12,8.09,8.12,8.13,8.06,416.32M,0.49%,0.004956639639928196
2010-03-15,7.99,8.05,8.05,7.87,493.50M,-1.22%,-0.012437971292216946
2010-03-16,8.02,8.01,8.03,7.95,446.91M,0.27%,0.003747662100239749
2010-03-17,8.0,8.03,8.09,7.97,450.96M,-0.15%,-0.0024968801985871545
2010-03-18,8.02,8.0,8.04,7.95,342.11M,0.24%,0.002496880198587146
2010-03-19,7.94,8.03,8.04,7.9,559.45M,-1.07%,-0.010025146619378707
2010-03-22,8.03,7.87,8.07,7.86,456.42M,1.12%,0.011271252699625752
2010-03-23,8.16,8.06,8.17,8.0,602.43M,1.61%,0.0160596410173454
2010-03-24,8.19,8.13,8.22,8.13,598.28M,0.44%,0.0036697288889624017
2010-03-25,8.09,8.25,8.25,8.08,543.27M,-1.19%,-0.01228516679457769
2010-03-26,8.25,8.18,8.28,8.16,640.87M,1.88%,0.019584469276189394
2010-03-29,8.3,8.32,8.35,8.27,540.74M,0.65%,0.006042314455962662
2010-03-30,8.42,8.45,8.48,8.37,527.31M,1.49%,0.014354313451683122
2010-03-31,8.39,8.41,8.45,8.37,430.66M,-0.36%,-0.0035693077751204503
2010-04-01,8.43,8.48,8.53,8.31,603.14M,0.41%,0.004756251534649276
2010-04-05,8.52,8.39,8.52,8.38,684.51M,1.07%,0.010619568827460351
2010-04-06,8.55,8.51,8.58,8.46,447.02M,0.44%,0.003514942107444592
2010-04-07,8.59,8.56,8.64,8.52,628.50M,0.44%,0.004667453047495021
2010-04-08,8.57,8.59,8.63,8.5,572.99M,-0.27%,-0.0023310033864754783
2010-04-09,8.64,8.62,8.64,8.59,334.18M,0.77%,0.008134850206275815
2010-04-12,8.65,8.65,8.68,8.64,333.22M,0.21%,0.0011567381278237332
2010-04-13,8.66,8.64,8.67,8.61,306.21M,0.06%,0.0011554016305558895
2010-04-14,8.77,8.76,8.78,8.72,404.07M,1.34%,0.012622083809747763
2010-04-15,8.89,8.78,8.89,8.77,376.78M,1.31%,0.013590243141721662
2010-04-16,8.84,8.88,8.97,8.73,750.54M,-0.61%,-0.005640172876261197
2010-04-19,8.82,8.82,8.85,8.63,566.92M,-0.13%,-0.002265006630852125
2010-04-20,8.74,8.88,8.9,8.68,738.32M,-1.00%,-0.00911168035125589
2010-04-21,9.26,9.24,9.29,9.13,982.39M,5.98%,0.05779385899064395
2010-04-22,9.52,9.22,9.53,9.15,793.42M,2.80%,0.027690800145185983
2010-04-23,9.67,9.57,9.72,9.54,796.95M,1.64%,0.015633460661928958
2010-04-26,9.62,9.71,9.73,9.58,479.07M,-0.49%,-0.0051840447875879546
2010-04-27,9.36,9.55,9.57,9.3,709.34M,-2.77%,-0.027398974188114388
2010-04-28,9.34,9.4,9.43,9.16,758.40M,-0.17%,-0.0021390382487494184
2010-04-29,9.59,9.39,9.64,9.36,558.84M,2.69%,0.02641463665459558
2010-04-30,9.32,9.62,9.66,9.32,542.46M,-2.81%,-0.028558260197847
2010-05-03,9.51,9.42,9.57,9.39,454.34M,2.01%,0.020181247859799037
2010-05-04,9.24,9.39,9.4,9.17,723.82M,-2.88%,-0.028801990903706078
2010-05-05,9.14,9.04,9.22,8.88,883.10M,-1.04%,-0.010881500187534062
2010-05-06,8.79,9.07,9.22,7.12,1.29B,-3.80%,-0.03904567376897322
2010-05-07,8.42,8.7,8.81,8.04,1.68B,-4.22%,-0.04300488344285015
2010-05-10,9.07,8.94,9.09,8.88,984.31M,7.69%,0.07436243587281001
