Date,Date,Actual,ARIMA,Diff
2022-12-06,2022-12-06,142.91,146.69,-3.78
2022-12-07,2022-12-07,140.94,143.17,-2.23
2022-12-08,2022-12-08,142.65,141.17,1.48
2022-12-09,2022-12-09,142.16,142.65,-0.49
2022-12-12,2022-12-12,144.49,142.19,2.3
2022-12-13,2022-12-13,145.47,144.36,1.11
2022-12-14,2022-12-14,143.21,145.35,-2.14
2022-12-15,2022-12-15,136.5,143.3,-6.8
2022-12-16,2022-12-16,134.51,136.95,-2.44
2022-12-19,2022-12-19,132.37,134.83,-2.46
2022-12-20,2022-12-20,132.3,132.63,-0.33
2022-12-21,2022-12-21,135.45,132.43,3.02
2022-12-22,2022-12-22,132.23,135.34,-3.11
2022-12-23,2022-12-23,131.86,132.36,-0.5
2022-12-27,2022-12-27,130.03,131.94,-1.91
2022-12-28,2022-12-28,126.04,130.17,-4.13
2022-12-29,2022-12-29,129.61,126.33,3.28
2022-12-30,2022-12-30,129.93,129.54,0.39
2023-01-03,2023-01-03,125.07,129.88,-4.81
2023-01-04,2023-01-04,126.36,125.33,1.03
2023-01-05,2023-01-05,125.02,126.4,-1.38
2023-01-06,2023-01-06,129.62,125.12,4.5
2023-01-09,2023-01-09,130.15,129.39,0.76
2023-01-10,2023-01-10,130.73,130.01,0.72
2023-01-11,2023-01-11,133.49,130.63,2.86
2023-01-12,2023-01-12,133.41,133.28,0.13
2023-01-13,2023-01-13,134.76,133.32,1.44
2023-01-17,2023-01-17,135.94,134.64,1.3
2023-01-18,2023-01-18,135.21,135.82,-0.61
2023-01-19,2023-01-19,135.27,135.2,0.07
2023-01-20,2023-01-20,137.87,135.26,2.61
2023-01-23,2023-01-23,141.11,137.71,3.4
2023-01-24,2023-01-24,142.53,140.85,1.68
2023-01-25,2023-01-25,141.86,142.34,-0.48
2023-01-26,2023-01-26,143.96,141.81,2.15
2023-01-27,2023-01-27,145.93,143.82,2.11
2023-01-30,2023-01-30,143.0,145.76,-2.76
2023-01-31,2023-01-31,144.29,143.09,1.2
2023-02-01,2023-02-01,145.43,144.26,1.17
2023-02-02,2023-02-02,150.82,145.35,5.47
2023-02-03,2023-02-03,154.5,150.48,4.02
2023-02-06,2023-02-06,151.73,154.16,-2.43
2023-02-07,2023-02-07,154.65,151.73,2.92
2023-02-08,2023-02-08,151.92,154.49,-2.57
2023-02-09,2023-02-09,150.87,152.01,-1.14
2023-02-10,2023-02-10,151.01,150.97,0.04
2023-02-13,2023-02-13,153.85,151.04,2.81
2023-02-14,2023-02-14,153.2,153.7,-0.5
2023-02-15,2023-02-15,155.33,153.17,2.16
2023-02-16,2023-02-16,153.71,155.2,-1.49
2023-02-17,2023-02-17,152.55,153.75,-1.2
2023-02-21,2023-02-21,148.48,152.63,-4.15
2023-02-22,2023-02-22,148.91,148.75,0.16
2023-02-23,2023-02-23,149.4,149.0,0.4
2023-02-24,2023-02-24,146.71,149.41,-2.7
2023-02-27,2023-02-27,147.92,146.87,1.05
2023-02-28,2023-02-28,147.41,147.92,-0.51
2023-03-01,2023-03-01,145.31,147.44,-2.13
2023-03-02,2023-03-02,145.91,145.44,0.47
2023-03-03,2023-03-03,151.03,145.93,5.1
2023-03-06,2023-03-06,153.83,150.75,3.08
2023-03-07,2023-03-07,151.6,153.56,-1.96
2023-03-08,2023-03-08,152.87,151.6,1.27
2023-03-09,2023-03-09,150.59,152.8,-2.21
2023-03-10,2023-03-10,148.5,150.69,-2.19
2023-03-13,2023-03-13,150.47,148.66,1.81
2023-03-14,2023-03-14,152.59,150.43,2.16
2023-03-15,2023-03-15,152.99,152.45,0.54
2023-03-16,2023-03-16,155.85,152.91,2.94
2023-03-17,2023-03-17,155.0,155.65,-0.65
2023-03-20,2023-03-20,157.4,154.96,2.44
2023-03-21,2023-03-21,159.28,157.25,2.03
2023-03-22,2023-03-22,157.83,159.11,-1.28
2023-03-23,2023-03-23,158.93,157.83,1.1
2023-03-24,2023-03-24,160.25,158.87,1.38
2023-03-27,2023-03-27,158.28,160.15,-1.87
2023-03-28,2023-03-28,157.65,158.35,-0.7
2023-03-29,2023-03-29,160.77,157.71,3.06
2023-03-30,2023-03-30,162.36,160.62,1.74
2023-03-31,2023-03-31,164.9,162.21,2.69
2023-04-03,2023-04-03,166.17,164.69,1.48
2023-04-04,2023-04-04,165.63,166.01,-0.38
2023-04-05,2023-04-05,163.76,165.59,-1.83
2023-04-06,2023-04-06,164.66,163.84,0.82
2023-04-10,2023-04-10,162.03,164.65,-2.62
2023-04-11,2023-04-11,160.8,162.17,-1.37
2023-04-12,2023-04-12,160.1,160.93,-0.83
2023-04-13,2023-04-13,165.56,160.19,5.37
2023-04-14,2023-04-14,165.21,165.3,-0.09
2023-04-17,2023-04-17,165.23,165.11,0.12
2023-04-18,2023-04-18,166.47,165.18,1.29
2023-04-19,2023-04-19,167.63,166.38,1.25
2023-04-20,2023-04-20,166.65,167.53,-0.88
2023-04-21,2023-04-21,165.02,166.66,-1.64
2023-04-24,2023-04-24,165.33,165.11,0.22
2023-04-25,2023-04-25,163.77,165.36,-1.59
2023-04-26,2023-04-26,163.76,163.87,-0.11
2023-04-27,2023-04-27,168.41,163.8,4.61
2023-04-28,2023-04-28,169.68,168.18,1.5
2023-05-01,2023-05-01,169.59,169.5,0.09
2023-05-02,2023-05-02,168.54,169.51,-0.97
2023-05-03,2023-05-03,167.45,168.56,-1.11
2023-05-04,2023-05-04,165.79,167.52,-1.73
2023-05-05,2023-05-05,173.57,165.91,7.66
2023-05-08,2023-05-08,173.5,173.19,0.31
2023-05-09,2023-05-09,171.77,173.33,-1.56
2023-05-10,2023-05-10,173.55,171.78,1.77
2023-05-11,2023-05-11,173.75,173.46,0.29
2023-05-12,2023-05-12,172.57,173.7,-1.13
2023-05-15,2023-05-15,172.07,172.61,-0.54
2023-05-16,2023-05-16,172.07,172.12,-0.05
2023-05-17,2023-05-17,172.69,172.09,0.6
2023-05-18,2023-05-18,175.05,172.67,2.38
2023-05-19,2023-05-19,175.16,174.91,0.25
2023-05-22,2023-05-22,174.2,175.09,-0.89
2023-05-23,2023-05-23,171.56,174.22,-2.66
2023-05-24,2023-05-24,171.84,171.72,0.12
2023-05-25,2023-05-25,172.99,171.9,1.09
2023-05-26,2023-05-26,175.43,172.95,2.48
2023-05-30,2023-05-30,177.3,175.28,2.02
2023-05-31,2023-05-31,177.25,177.12,0.13
2023-06-01,2023-06-01,180.09,177.17,2.92
2023-06-02,2023-06-02,180.95,179.9,1.05
2023-06-05,2023-06-05,179.58,180.81,-1.23
2023-06-06,2023-06-06,179.21,179.59,-0.38
2023-06-07,2023-06-07,177.82,179.23,-1.41
2023-06-08,2023-06-08,180.57,177.91,2.66
2023-06-09,2023-06-09,180.96,180.46,0.5
2023-06-12,2023-06-12,183.79,180.89,2.9
2023-06-13,2023-06-13,183.31,183.6,-0.29
2023-06-14,2023-06-14,183.95,183.24,0.71
2023-06-15,2023-06-15,186.01,183.88,2.13
2023-06-16,2023-06-16,184.92,185.87,-0.95
