Date,ARIMA,LSTM,XGBoost
2026-03-09,257.25,255.37,174.07
2026-03-10,257.33,254.0,173.41
2026-03-11,257.3,252.53,163.83
2026-03-12,257.31,251.0,155.49
2026-03-13,257.31,249.45,139.68
2026-03-16,257.31,247.91,119.19
2026-03-17,257.31,246.38,101.68
2026-03-18,257.31,244.87,85.53
2026-03-19,257.31,243.38,81.85
2026-03-20,257.31,241.93,62.38
2026-03-23,257.31,240.5,45.75
2026-03-24,257.31,239.1,43.33
2026-03-25,257.31,237.72,40.72
2026-03-26,257.31,236.38,47.71
2026-03-27,257.31,235.06,48.96
2026-03-30,257.31,233.77,49.66
2026-03-31,257.31,232.5,54.17
2026-04-01,257.31,231.27,55.32
2026-04-02,257.31,230.05,56.1
2026-04-03,257.31,228.86,71.22
2026-04-06,257.31,227.7,85.89
2026-04-07,257.31,226.55,99.42
2026-04-08,257.31,225.43,102.9
2026-04-09,257.31,224.33,97.78
2026-04-10,257.31,223.25,93.41
2026-04-13,257.31,222.19,90.29
2026-04-14,257.31,221.15,87.85
2026-04-15,257.31,220.13,85.21
2026-04-16,257.31,219.13,82.67
2026-04-17,257.31,218.14,63.07
