Date,Date,Actual,GB,Diff
2022-12-20,2022-12-20,132.3,134.11,-1.81
2022-12-21,2022-12-21,135.45,132.69,2.76
2022-12-22,2022-12-22,132.23,135.78,-3.55
2022-12-23,2022-12-23,131.86,132.75,-0.89
2022-12-27,2022-12-27,130.03,132.99,-2.96
2022-12-28,2022-12-28,126.04,129.94,-3.9
2022-12-29,2022-12-29,129.61,126.42,3.19
2022-12-30,2022-12-30,129.93,130.77,-0.84
2023-01-03,2023-01-03,125.07,129.42,-4.35
2023-01-04,2023-01-04,126.36,124.67,1.69
2023-01-05,2023-01-05,125.02,127.1,-2.08
2023-01-06,2023-01-06,129.62,125.56,4.06
2023-01-09,2023-01-09,130.15,129.45,0.7
2023-01-10,2023-01-10,130.73,129.91,0.82
2023-01-11,2023-01-11,133.49,128.47,5.02
2023-01-12,2023-01-12,133.41,134.07,-0.66
2023-01-13,2023-01-13,134.76,133.21,1.55
2023-01-17,2023-01-17,135.94,134.1,1.84
2023-01-18,2023-01-18,135.21,136.0,-0.79
2023-01-19,2023-01-19,135.27,135.8,-0.53
2023-01-20,2023-01-20,137.87,135.67,2.2
2023-01-23,2023-01-23,141.11,140.69,0.42
2023-01-24,2023-01-24,142.53,142.0,0.53
2023-01-25,2023-01-25,141.86,141.7,0.16
2023-01-26,2023-01-26,143.96,141.66,2.3
2023-01-27,2023-01-27,145.93,144.35,1.58
2023-01-30,2023-01-30,143.0,146.15,-3.15
2023-01-31,2023-01-31,144.29,141.76,2.53
2023-02-01,2023-02-01,145.43,145.0,0.43
2023-02-02,2023-02-02,150.82,144.81,6.01
2023-02-03,2023-02-03,154.5,150.67,3.83
2023-02-06,2023-02-06,151.73,153.15,-1.42
2023-02-07,2023-02-07,154.65,148.99,5.66
2023-02-08,2023-02-08,151.92,154.46,-2.54
2023-02-09,2023-02-09,150.87,152.23,-1.36
2023-02-10,2023-02-10,151.01,151.31,-0.3
2023-02-13,2023-02-13,153.85,150.32,3.53
2023-02-14,2023-02-14,153.2,153.58,-0.38
2023-02-15,2023-02-15,155.33,151.52,3.81
2023-02-16,2023-02-16,153.71,155.16,-1.45
2023-02-17,2023-02-17,152.55,153.99,-1.44
2023-02-21,2023-02-21,148.48,152.45,-3.97
2023-02-22,2023-02-22,148.91,148.81,0.1
2023-02-23,2023-02-23,149.4,149.53,-0.13
2023-02-24,2023-02-24,146.71,148.41,-1.7
2023-02-27,2023-02-27,147.92,146.44,1.48
2023-02-28,2023-02-28,147.41,146.91,0.5
2023-03-01,2023-03-01,145.31,147.69,-2.38
2023-03-02,2023-03-02,145.91,144.47,1.44
2023-03-03,2023-03-03,151.03,146.42,4.61
2023-03-06,2023-03-06,153.83,149.7,4.13
2023-03-07,2023-03-07,151.6,153.62,-2.02
2023-03-08,2023-03-08,152.87,148.6,4.27
2023-03-09,2023-03-09,150.59,152.42,-1.83
2023-03-10,2023-03-10,148.5,149.89,-1.39
2023-03-13,2023-03-13,150.47,148.97,1.5
2023-03-14,2023-03-14,152.59,149.88,2.71
2023-03-15,2023-03-15,152.99,151.32,1.67
2023-03-16,2023-03-16,155.85,151.01,4.84
2023-03-17,2023-03-17,155.0,155.71,-0.71
2023-03-20,2023-03-20,157.4,155.11,2.29
2023-03-21,2023-03-21,159.28,159.07,0.21
2023-03-22,2023-03-22,157.83,160.47,-2.64
2023-03-23,2023-03-23,158.93,159.16,-0.23
2023-03-24,2023-03-24,160.25,158.92,1.33
2023-03-27,2023-03-27,158.28,160.99,-2.71
2023-03-28,2023-03-28,157.65,159.21,-1.56
2023-03-29,2023-03-29,160.77,160.49,0.28
2023-03-30,2023-03-30,162.36,162.19,0.17
2023-03-31,2023-03-31,164.9,161.68,3.22
