Date,Date,Actual,LSTM,Diff
2022-12-06,2022-12-06,142.91,146.17,-3.26
2022-12-07,2022-12-07,140.94,145.14,-4.2
2022-12-08,2022-12-08,142.65,143.31,-0.66
2022-12-09,2022-12-09,142.16,142.24,-0.08
2022-12-12,2022-12-12,144.49,141.6,2.89
2022-12-13,2022-12-13,145.47,142.04,3.43
2022-12-14,2022-12-14,143.21,143.06,0.15
2022-12-15,2022-12-15,136.5,143.33,-6.83
2022-12-16,2022-12-16,134.51,141.26,-6.75
2022-12-19,2022-12-19,132.37,138.36,-5.99
2022-12-20,2022-12-20,132.3,135.36,-3.06
2022-12-21,2022-12-21,135.45,133.19,2.26
2022-12-22,2022-12-22,132.23,132.9,-0.67
2022-12-23,2022-12-23,131.86,132.48,-0.62
2022-12-27,2022-12-27,130.03,132.11,-2.08
2022-12-28,2022-12-28,126.04,131.35,-5.31
2022-12-29,2022-12-29,129.61,129.54,0.07
2022-12-30,2022-12-30,129.93,128.92,1.01
2023-01-03,2023-01-03,125.07,128.99,-3.92
2023-01-04,2023-01-04,126.36,127.91,-1.55
2023-01-05,2023-01-05,125.02,127.11,-2.09
2023-01-06,2023-01-06,129.62,126.25,3.37
2023-01-09,2023-01-09,130.15,126.93,3.22
2023-01-10,2023-01-10,130.73,128.14,2.59
2023-01-11,2023-01-11,133.49,129.38,4.11
2023-01-12,2023-01-12,133.41,131.09,2.32
2023-01-13,2023-01-13,134.76,132.42,2.34
2023-01-17,2023-01-17,135.94,133.61,2.33
2023-01-18,2023-01-18,135.21,134.71,0.5
2023-01-19,2023-01-19,135.27,135.19,0.08
2023-01-20,2023-01-20,137.87,135.28,2.59
2023-01-23,2023-01-23,141.11,135.92,5.19
2023-01-24,2023-01-24,142.53,137.5,5.03
2023-01-25,2023-01-25,141.86,139.38,2.48
2023-01-26,2023-01-26,143.96,140.6,3.36
2023-01-27,2023-01-27,145.93,141.85,4.08
2023-01-30,2023-01-30,143.0,143.29,-0.29
2023-01-31,2023-01-31,144.29,143.46,0.83
2023-02-01,2023-02-01,145.43,143.49,1.94
2023-02-02,2023-02-02,150.82,143.76,7.06
2023-02-03,2023-02-03,154.5,145.66,8.84
2023-02-06,2023-02-06,151.73,148.69,3.04
2023-02-07,2023-02-07,154.65,150.4,4.25
2023-02-08,2023-02-08,151.92,152.03,-0.11
2023-02-09,2023-02-09,150.87,152.24,-1.37
2023-02-10,2023-02-10,151.01,151.52,-0.51
2023-02-13,2023-02-13,153.85,150.67,3.18
2023-02-14,2023-02-14,153.2,150.88,2.32
2023-02-15,2023-02-15,155.33,151.2,4.13
2023-02-16,2023-02-16,153.71,152.14,1.57
2023-02-17,2023-02-17,152.55,152.54,0.01
2023-02-21,2023-02-21,148.48,152.29,-3.81
2023-02-22,2023-02-22,148.91,150.63,-1.72
2023-02-23,2023-02-23,149.4,149.11,0.29
2023-02-24,2023-02-24,146.71,148.25,-1.54
2023-02-27,2023-02-27,147.92,147.08,0.84
2023-02-28,2023-02-28,147.41,146.58,0.83
2023-03-01,2023-03-01,145.31,146.34,-1.03
2023-03-02,2023-03-02,145.91,145.67,0.24
2023-03-03,2023-03-03,151.03,145.28,5.75
2023-03-06,2023-03-06,153.83,146.68,7.15
2023-03-07,2023-03-07,151.6,149.18,2.42
2023-03-08,2023-03-08,152.87,150.68,2.19
2023-03-09,2023-03-09,150.59,151.77,-1.18
2023-03-10,2023-03-10,148.5,151.64,-3.14
2023-03-13,2023-03-13,150.47,150.42,0.05
2023-03-14,2023-03-14,152.59,149.73,2.86
2023-03-15,2023-03-15,152.99,150.05,2.94
2023-03-16,2023-03-16,155.85,150.74,5.11
2023-03-17,2023-03-17,155.0,152.26,2.74
2023-03-20,2023-03-20,157.4,153.36,4.04
2023-03-21,2023-03-21,159.28,154.72,4.56
2023-03-22,2023-03-22,157.83,156.33,1.5
2023-03-23,2023-03-23,158.93,157.06,1.87
2023-03-24,2023-03-24,160.25,157.57,2.68
2023-03-27,2023-03-27,158.28,158.21,0.07
2023-03-28,2023-03-28,157.65,158.05,-0.4
2023-03-29,2023-03-29,160.77,157.43,3.34
2023-03-30,2023-03-30,162.36,157.8,4.56
2023-03-31,2023-03-31,164.9,158.88,6.02
2023-04-03,2023-04-03,166.17,160.7,5.47
2023-04-04,2023-04-04,165.63,162.63,3.0
2023-04-05,2023-04-05,163.76,163.84,-0.08
2023-04-06,2023-04-06,164.66,163.8,0.86
